name,number played,best placement,avg placement,date,size
"Abrade",13,1,4.461538461538462,2023-03-25,156
"Atraxa, Grand Unifier",4,1,1.0,2023-03-25,156
"Blackcleave Cliffs",19,1,4.421052631578948,2023-03-25,156
"Bloodtithe Harvester",16,1,4.0,2023-03-25,156
"Brotherhood's End",11,1,4.454545454545454,2023-03-25,156
"Cut Down",13,1,4.384615384615385,2023-03-25,156
"Duress",2,1,1.0,2023-03-25,156
"Fable of the Mirror-Breaker",24,1,4.5,2023-03-25,156
"Go for the Throat",17,1,5.117647058823529,2023-03-25,156
"Haunted Ridge",19,1,4.578947368421052,2023-03-25,156
"Liliana of the Veil",2,1,1.0,2023-03-25,156
"Mountain",8,1,2.875,2023-03-25,156
"Reckoner Bankbuster",19,1,4.2105263157894735,2023-03-25,156
"Sheoldred, the Apocalypse",15,1,4.8,2023-03-25,156
"Sokenzan, Crucible of Defiance",2,1,2.5,2023-03-25,156
"Sulfurous Springs",15,1,4.133333333333334,2023-03-25,156
"Swamp",14,1,3.642857142857143,2023-03-25,156
"Takenuma, Abandoned Mire",4,1,4.75,2023-03-25,156
"The Cruelty of Gix",5,1,1.8,2023-03-25,156
"Xander's Lounge",18,1,5.0,2023-03-25,156
"Ziatora's Proving Ground",2,1,1.0,2023-03-25,156
"Corpse Appraiser",16,2,5.5,2023-03-25,156
"Darkslick Shores",16,2,5.5,2023-03-25,156
"Gix's Command",1,2,2.0,2023-03-25,156
"Graveyard Trespasser",4,2,5.0,2023-03-25,156
"Invoke Despair",14,2,5.785714285714286,2023-03-25,156
"Make Disappear",11,2,5.363636363636363,2023-03-25,156
"Shipwreck Marsh",10,2,5.9,2023-03-25,156
"Shivan Reef",12,2,5.0,2023-03-25,156
"Stormcarved Coast",8,2,4.75,2023-03-25,156
"Ambitious Farmhand",2,3,3.0,2023-03-25,156
"Demolition Field",6,3,3.6666666666666665,2023-03-25,156
"Destroy Evil",2,3,3.0,2023-03-25,156
"Eiganjo, Seat of the Empire",4,3,5.25,2023-03-25,156
"Elspeth Resplendent",1,3,3.0,2023-03-25,156
"Farewell",1,3,3.0,2023-03-25,156
"Field of Ruin",6,3,3.6666666666666665,2023-03-25,156
"Lay Down Arms",4,3,3.0,2023-03-25,156
"Loran of the Third Path",2,3,3.0,2023-03-25,156
"Ossification",2,3,3.0,2023-03-25,156
"Plains",16,3,3.1875,2023-03-25,156
"Roadside Reliquary",4,3,3.0,2023-03-25,156
"Sanctuary Warden",2,3,3.0,2023-03-25,156
"Serra Paragon",2,3,3.0,2023-03-25,156
"Spirited Companion",2,3,3.0,2023-03-25,156
"Steel Seraph",2,3,3.0,2023-03-25,156
"The Eternal Wanderer",1,3,3.0,2023-03-25,156
"The Restoration of Eiganjo",2,3,3.0,2023-03-25,156
"The Wandering Emperor",4,3,3.0,2023-03-25,156
"Wedding Announcement",4,3,3.0,2023-03-25,156
"Cityscape Leveler",3,4,4.0,2023-03-25,156
"Island",4,4,4.0,2023-03-25,156
"Otawara, Soaring City",4,4,5.5,2023-03-25,156
"Portal to Phyrexia",1,4,4.0,2023-03-25,156
"Skitterbeam Battalion",4,4,4.0,2023-03-25,156
"Spell Pierce",2,4,4.0,2023-03-25,156
"Stern Lesson",3,4,4.0,2023-03-25,156
"The Mightstone and Weakstone",4,4,4.0,2023-03-25,156
"Thran Spider",2,4,4.0,2023-03-25,156
"Negate",1,5,5.0,2023-03-25,156
"Skrelv, Defector Mite",4,6,6.0,2023-03-25,156
"Dennick, Pious Apprentice",4,6,6.0,2023-03-25,156
"Thalia, Guardian of Thraben",4,6,6.0,2023-03-25,156
"Razorlash Transmogrant",2,6,6.0,2023-03-25,156
"Raffine, Scheming Seer",4,6,6.0,2023-03-25,156
"Adeline, Resplendent Cathar",3,6,6.0,2023-03-25,156
"Toluz, Clever Conductor",2,6,6.0,2023-03-25,156
"Ertai Resurrected",2,6,6.0,2023-03-25,156
"Plaza of Heroes",4,6,6.0,2023-03-25,156
"Raffine's Tower",2,6,6.0,2023-03-25,156
"Seachrome Coast",4,6,6.0,2023-03-25,156
"Shattered Sanctum",4,6,6.0,2023-03-25,156
"Caves of Koilos",1,6,6.0,2023-03-25,156
"Ao, the Dawn Sky",1,6,6.0,2023-03-25,156
"Bloodtithe Collector",4,7,7.0,2023-03-25,156
"Bladecoil Serpent",2,7,7.5,2023-03-25,156
"Blue Sun's Twilight",1,7,7.0,2023-03-25,156
"Underground River",1,8,8.0,2023-03-25,156
