name,number played,best placement,avg placement,date,size
"Swamp",8,1,6.25,2023-04-01,132
"Plains",53,1,4.339622641509434,2023-04-01,132
"Overgrown Farmland",4,1,4.0,2023-04-01,132
"Reckoner Bankbuster",17,1,4.647058823529412,2023-04-01,132
"Boseiju, Who Endures",3,1,3.3333333333333335,2023-04-01,132
"Otawara, Soaring City",4,1,3.25,2023-04-01,132
"Forest",4,1,2.75,2023-04-01,132
"Depopulate",8,1,3.125,2023-04-01,132
"Make Disappear",3,1,1.0,2023-04-01,132
"Jetmir's Garden",8,1,4.5,2023-04-01,132
"Raffine's Tower",4,1,1.0,2023-04-01,132
"Spara's Headquarters",4,1,1.0,2023-04-01,132
"Leyline Binding",4,1,1.0,2023-04-01,132
"Lay Down Arms",15,1,3.933333333333333,2023-04-01,132
"Herd Migration",3,1,1.0,2023-04-01,132
"Atraxa, Grand Unifier",2,1,1.0,2023-04-01,132
"Island",2,1,1.0,2023-04-01,132
"The Wandering Emperor",10,1,2.9,2023-04-01,132
"Wedding Announcement",20,1,4.0,2023-04-01,132
"Negate",1,1,1.0,2023-04-01,132
"Ossification",11,1,4.909090909090909,2023-04-01,132
"The Eternal Wanderer",7,1,2.5714285714285716,2023-04-01,132
"Contagious Vorrac",2,1,1.0,2023-04-01,132
"Mountain",3,1,5.0,2023-04-01,132
"Eiganjo, Seat of the Empire",1,2,2.0,2023-04-01,132
"Mirrex",11,2,4.0,2023-04-01,132
"Roadside Reliquary",11,2,4.7272727272727275,2023-04-01,132
"Ambitious Farmhand",11,2,5.0,2023-04-01,132
"Loran of the Third Path",7,2,5.0,2023-04-01,132
"The Restoration of Eiganjo",5,2,3.2,2023-04-01,132
"Elspeth Resplendent",5,2,4.4,2023-04-01,132
"The Mightstone and Weakstone",1,2,2.0,2023-04-01,132
"Annex Sentry",4,3,4.5,2023-04-01,132
"Bloated Contaminator",8,3,4.5,2023-04-01,132
"Razorverge Thicket",8,3,4.5,2023-04-01,132
"Soul Partition",1,3,3.0,2023-04-01,132
"Crawling Chorus",8,3,4.5,2023-04-01,132
"Eiganjo, Seat of the Empire",8,3,4.375,2023-04-01,132
"Jawbone Duelist",7,3,4.285714285714286,2023-04-01,132
"Skrelv's Hive",8,3,4.5,2023-04-01,132
"Skrelv, Defector Mite",12,3,4.333333333333333,2023-04-01,132
"Slaughter Singer",8,3,4.5,2023-04-01,132
"Tyvar's Stand",8,3,4.5,2023-04-01,132
"Venerated Rotpriest",8,3,4.5,2023-04-01,132
"The Seedcore",8,3,4.5,2023-04-01,132
"Brushland",8,3,4.5,2023-04-01,132
"Destroy Evil",2,3,3.0,2023-04-01,132
"Takenuma, Abandoned Mire",3,4,5.0,2023-04-01,132
"Plaza of Heroes",4,4,4.0,2023-04-01,132
"Seachrome Coast",4,4,4.0,2023-04-01,132
"Darkslick Shores",4,4,4.0,2023-04-01,132
"Caves of Koilos",4,4,4.0,2023-04-01,132
"Shattered Sanctum",2,4,4.0,2023-04-01,132
"Ludevic, Necrogenius",1,4,4.0,2023-04-01,132
"Razorlash Transmogrant",2,4,4.0,2023-04-01,132
"Go for the Throat",6,4,6.0,2023-04-01,132
"Adeline, Resplendent Cathar",3,4,4.0,2023-04-01,132
"Thalia, Guardian of Thraben",4,4,4.0,2023-04-01,132
"Raffine, Scheming Seer",4,4,4.0,2023-04-01,132
"Sheoldred, the Apocalypse",7,4,5.285714285714286,2023-04-01,132
"Dennick, Pious Apprentice",4,4,4.0,2023-04-01,132
"Serra Paragon",5,5,6.2,2023-04-01,132
"Spirited Companion",2,5,5.0,2023-04-01,132
"Fateful Absence",1,5,5.0,2023-04-01,132
"Farewell",1,5,5.0,2023-04-01,132
"Steel Seraph",2,5,5.0,2023-04-01,132
"Sanctuary Warden",3,5,7.0,2023-04-01,132
"Charge of the Mites",2,6,6.0,2023-04-01,132
"Loran's Escape",1,6,6.0,2023-04-01,132
"Viral Spawning",1,6,6.0,2023-04-01,132
"Bloodtithe Harvester",4,7,7.0,2023-04-01,132
"Graveyard Trespasser",4,7,7.0,2023-04-01,132
"Cut Down",4,7,7.0,2023-04-01,132
"Duress",3,7,7.0,2023-04-01,132
"Abrade",2,7,7.0,2023-04-01,132
"Invoke Despair",3,7,7.0,2023-04-01,132
"Gix's Command",1,7,7.0,2023-04-01,132
"Fable of the Mirror-Breaker",8,7,7.5,2023-04-01,132
"Blackcleave Cliffs",4,7,7.0,2023-04-01,132
"Sulfurous Springs",4,7,7.0,2023-04-01,132
"Haunted Ridge",4,7,7.0,2023-04-01,132
"Sokenzan, Crucible of Defiance",1,7,7.0,2023-04-01,132
"Xander's Lounge",2,7,7.0,2023-04-01,132
"Ao, the Dawn Sky",2,8,8.0,2023-04-01,132
"Sundown Pass",4,8,8.0,2023-04-01,132
"Battlefield Forge",1,8,8.0,2023-04-01,132
"Sacred Peaks",1,8,8.0,2023-04-01,132
